fuente_id,clasificacion,fecha_envio,estado_informe,envio_id,caracteristicas_informe
ID-8443,Principal,2024-03-20T13:02:24.037000,Con observaciones,7763,No cumple
ID-8443,Secundario,2024-03-20T12:58:40.683000,Con observaciones,7202,No cumple
ID-374,Principal,2023-10-31T12:26:39.703000,Con observaciones,8796,No cumple
ID-377,Principal,2024-04-30T09:07:07.917000,Con observaciones,11882,No cumple
ID-377,Principal,2024-04-29T19:17:20.667000,Con observaciones,11909,Cumple
ID-377,Principal,2023-10-31T12:14:59.100000,Con observaciones,8782,No cumple
ID-378,Principal,2023-10-31T13:40:53.577000,Con observaciones,8838,No cumple
ID-378,Principal,2024-04-29T19:19:02.063000,Con observaciones,11932,Cumple
ID-378,Principal,2024-04-30T09:11:20.043000,Con observaciones,11918,No cumple
ID-375,Principal,2023-10-31T12:20:11.153000,Con observaciones,8776,Cumple
ID-375,Principal,2023-10-31T12:21:38.577000,Con observaciones,8779,Cumple
ID-375,Principal,2023-10-31T12:22:37.580000,Con observaciones,8781,Cumple
ID-375,Principal,2024-01-31T16:01:31.463000,Con observaciones,10555,Cumple
ID-375,Principal,2024-01-31T16:02:10.787000,Con observaciones,10556,Cumple
ID-375,Principal,2024-01-31T16:02:50.273000,Con observaciones,10558,Cumple
ID-375,Principal,2024-04-30T09:13:16.363000,Con observaciones,11935,Cumple
ID-375,Principal,2024-04-30T09:14:31.803000,Con observaciones,11936,Cumple
ID-375,Principal,2024-04-30T09:16:10.613000,Con observaciones,11937,Cumple
ID-369,Secundario,2023-10-31T12:11:32.630000,Con observaciones,8745,Cumple
ID-369,Secundario,2023-10-31T12:12:31.110000,Con observaciones,8773,Cumple
ID-369,Secundario,2023-10-31T12:13:41.720000,Validado parcialmente,8741,No cumple
ID-369,Secundario,2023-10-31T12:13:41.720000,Validado parcialmente,8741,Cumple
ID-369,Secundario,2024-04-29T19:05:13.410000,Con observaciones,11862,Cumple
ID-369,Secundario,2024-04-29T19:07:43.413000,Con observaciones,11864,Cumple
ID-369,Secundario,2024-04-29T19:08:48.350000,Con observaciones,11872,Cumple
ID-369,Secundario,2024-01-31T16:45:02.590000,Con observaciones,10602,Cumple
ID-369,Secundario,2024-01-31T15:47:57.403000,Con observaciones,10525,Cumple
ID-369,Secundario,2024-01-31T15:55:36.663000,Con observaciones,10531,Cumple
ID-4477,Principal,2023-12-27T16:39:25.800000,Validado,9594,Cumple
ID-4477,Principal,2024-01-17T11:40:16.273000,Validado,9292,No cumple
ID-4477,Principal,2024-01-17T11:40:16.273000,Validado,9292,Cumple
ID-4477,Principal,2024-01-17T11:42:05.193000,Validado,9595,Cumple
ID-4477,Principal,2024-01-17T11:42:05.193000,Validado,9595,No cumple
ID-12067,Principal,2024-03-15T12:31:53.850000,Validado,11200,Cumple
ID-4873,Principal,2023-12-29T12:00:52.653000,Validado,9526,No cumple
ID-4873,Principal,2023-12-29T12:00:52.653000,Validado,9526,Cumple
ID-4873,Principal,2023-12-29T12:01:36.890000,Validado,9527,No cumple
ID-4873,Principal,2023-12-29T12:01:36.890000,Validado,9527,Cumple
ID-4873,Principal,2023-12-22T12:34:36.543000,Validado,9528,Cumple
ID-4874,Principal,2023-12-22T13:11:38.960000,Validado,9530,Cumple
ID-4874,Principal,2023-12-22T13:15:19.773000,Validado,9531,Cumple
ID-4874,Principal,2023-12-22T13:19:03.643000,Validado,9532,Cumple
ID-4875,Principal,2023-12-29T12:02:58.130000,Validado,9506,No cumple
ID-4875,Principal,2023-12-29T12:02:58.130000,Validado,9506,Cumple
ID-4875,Principal,2023-12-29T12:03:29.550000,Validado,9509,No cumple
ID-4875,Principal,2023-12-29T12:03:29.550000,Validado,9509,Cumple
ID-4875,Principal,2023-12-29T12:03:59.743000,Validado,9511,No cumple
ID-4875,Principal,2023-12-29T12:03:59.743000,Validado,9511,Cumple
ID-4876,Principal,2023-12-29T12:04:32.250000,Validado,9507,No cumple
ID-4876,Principal,2023-12-29T12:04:32.250000,Validado,9507,Cumple
ID-4876,Principal,2023-12-29T12:04:58.170000,Validado,9510,No cumple
ID-4876,Principal,2023-12-29T12:04:58.170000,Validado,9510,Cumple
ID-4876,Principal,2023-12-29T12:05:26.623000,Validado,9512,No cumple
ID-4876,Principal,2023-12-29T12:05:26.623000,Validado,9512,Cumple
ID-520,Principal,2024-01-23T16:56:43.547000,Validado,10361,Cumple
ID-520,Principal,2024-01-23T16:15:30.427000,Validado,10358,Cumple
ID-520,Principal,2023-12-27T18:33:12.873000,Validado,9612,Cumple
ID-520,Principal,2023-12-31T19:42:09.903000,Validado,9724,Cumple
ID-493,Principal,2023-12-20T18:23:19.257000,Validado,9478,Cumple
ID-494,Principal,2023-11-22T23:38:30.690000,Validado,9043,Cumple
ID-494,Principal,2023-11-22T23:57:13.463000,Validado,9046,Cumple
ID-494,Principal,2024-01-24T16:34:40.787000,Validado,10372,Cumple
ID-477,Principal,2024-02-05T15:28:12.047000,Validado,10410,No cumple
ID-477,Principal,2024-02-05T15:28:12.047000,Validado,10410,No cumple
ID-477,Principal,2024-02-05T15:28:12.047000,Validado,10410,Cumple
ID-476,Principal,2024-02-05T15:26:16.163000,Validado,10339,No cumple
ID-476,Principal,2024-02-05T15:26:16.163000,Validado,10339,No cumple
ID-476,Principal,2024-02-05T15:26:16.163000,Validado,10339,Cumple
ID-492,Principal,2023-11-22T22:46:40.803000,Validado,9044,Cumple
ID-492,Principal,2023-11-22T23:28:08.970000,Validado,9045,Cumple
ID-492,Principal,2024-02-05T15:29:41.353000,Validado,10400,No cumple
ID-492,Principal,2024-02-05T15:29:41.353000,Validado,10400,No cumple
ID-492,Principal,2024-02-05T15:29:41.353000,Validado,10400,Cumple
ID-450,Principal,2024-05-08T09:28:07.563000,Validado,9301,No cumple
ID-450,Principal,2024-05-08T09:28:07.563000,Validado,9301,Cumple
ID-450,Principal,2024-05-09T14:15:27.363000,Validado,12197,No cumple
ID-450,Principal,2024-05-09T14:15:27.363000,Validado,12197,Cumple
ID-450,Principal,2023-12-22T12:14:33.943000,Validado,9300,Cumple
ID-451,Principal,2023-12-22T12:17:33.907000,Validado,9302,Cumple
ID-451,Principal,2023-12-22T12:20:43.107000,Validado,9498,Cumple
ID-451,Principal,2023-12-22T12:23:13.443000,Validado,9516,Cumple
ID-451,Principal,2023-12-22T12:25:06.620000,Validado,9517,Cumple
ID-451,Principal,2024-05-08T11:28:41.307000,Validado,12009,Cumple
ID-446,Principal,2024-05-08T10:50:49.977000,Validado,12006,Cumple
ID-446,Principal,2024-05-08T10:50:49.977000,Validado,12006,Cumple
ID-446,Principal,2024-05-08T10:50:49.977000,Validado,12006,Cumple
ID-446,Principal,2024-05-08T10:50:49.977000,Validado,12006,Cumple
ID-1682,Principal,2023-12-21T11:01:07.243000,Validado,7088,Cumple
ID-1682,Principal,2023-12-21T11:03:50.010000,Validado,9488,Cumple
ID-1682,Principal,2023-12-21T11:17:56.440000,Validado,9491,Cumple
ID-1682,Principal,2024-04-09T13:51:43.347000,Validado,11501,Cumple
ID-13631,Principal,2024-02-20T14:36:58.603000,Validado,10802,Cumple
ID-5296,Principal,2024-02-20T16:08:10.867000,Validado,9781,Cumple
ID-5292,Principal,2024-02-20T15:49:01.947000,Validado,10846,Cumple
ID-6182,Principal,2023-12-19T09:41:06.640000,Validado,9426,Cumple
ID-510,Principal,2024-01-18T19:32:17.777000,Validado,9710,No cumple
ID-510,Principal,2024-01-18T19:32:17.777000,Validado,9710,Cumple
ID-510,Principal,2024-01-31T13:50:46.407000,Validado,10579,Cumple
ID-512,Principal,2024-01-31T13:13:22.650000,Validado,10573,Cumple
ID-512,Principal,2024-01-18T19:27:59.087000,Validado,9709,No cumple
ID-512,Principal,2024-01-18T19:27:59.087000,Validado,9709,Cumple
ID-1017,Principal,2023-12-29T15:53:51.317000,Validado,9705,Cumple
ID-1017,Principal,2023-12-29T15:53:51.317000,Validado,9705,Cumple
ID-1017,Principal,2023-12-29T15:53:51.317000,Validado,9705,Cumple
ID-1017,Principal,2023-12-29T15:53:51.317000,Validado,9705,Cumple
ID-1021,Principal,2024-01-05T18:04:21.313000,Validado,9703,No cumple
ID-1021,Principal,2024-01-05T18:04:21.313000,Validado,9703,Cumple
ID-1030,Principal,2023-12-29T13:55:39.643000,Validado,9614,Cumple
ID-4417,Principal,2024-02-07T09:15:01.097000,Validado parcialmente,10671,No cumple
ID-4417,Principal,2024-02-07T09:15:01.097000,Validado parcialmente,10671,No cumple
ID-4417,Principal,2024-02-09T15:28:27.910000,Validado,10672,Cumple
ID-4418,Principal,2024-02-07T09:15:52.237000,Validado,10673,No cumple
ID-4418,Principal,2024-02-07T09:15:52.237000,Validado,10673,Cumple
ID-6404,Principal,2024-05-08T17:23:48.900000,Validado,12253,Cumple
ID-6404,Principal,2023-12-07T09:08:35.860000,Validado,6982,Cumple
ID-2354,Principal,2024-02-08T17:15:56.547000,Validado,10662,No cumple
ID-2354,Principal,2024-02-08T17:15:56.547000,Validado,10662,No cumple
ID-2354,Principal,2024-02-08T17:15:56.547000,Validado,10662,Cumple
ID-973,Principal,2024-01-31T20:45:51.170000,Validado,10622,Cumple
ID-974,Principal,2024-01-31T18:30:08.233000,Validado,10614,Cumple
ID-712,Principal,2023-06-02T11:19:43.377000,Rechazado,2622,No cumple
ID-712,Principal,2023-06-02T11:19:43.377000,Rechazado,2622,No cumple
ID-712,Principal,2022-08-02T15:24:31.330000,Recepcionado,2621,N/D
ID-712,Principal,2022-08-02T15:24:31.330000,Recepcionado,2621,N/D
ID-4515,Principal,2024-04-30T15:43:43.033000,Validado,10516,No cumple
ID-4515,Principal,2024-04-30T15:43:43.033000,Validado,10516,Cumple
ID-4515,Principal,2024-05-08T17:15:41.487000,Rechazado,12018,No cumple
ID-4515,Principal,2024-05-08T17:15:41.487000,Rechazado,12018,No cumple
ID-4515,Principal,2024-01-30T18:12:34.367000,Validado,10534,Cumple
ID-4504,Principal,2024-04-30T16:34:14.947000,Validado,12015,Cumple
ID-4504,Principal,2024-01-30T18:46:17.513000,Validado,10542,Cumple
ID-4504,Principal,2024-01-30T18:57:26.460000,Validado,10544,Cumple
ID-4506,Principal,2024-01-30T18:36:02.893000,Validado,10540,Cumple
ID-4506,Principal,2024-01-30T17:53:52.290000,Validado,10532,Cumple
ID-4506,Principal,2024-04-30T17:33:42.130000,Validado,12019,Cumple
ID-4497,Principal,2024-01-31T12:58:14.873000,Con observaciones,10569,No cumple
ID-6406,Principal,2024-04-12T15:55:19.293000,Con observaciones,11576,No cumple
ID-5633,Principal,2024-01-19T12:39:43.460000,Validado,7616,Cumple
ID-5633,Principal,2024-01-19T12:39:43.460000,Validado,7616,Cumple
ID-5633,Principal,2024-01-26T16:33:53.867000,Validado,10429,Cumple
ID-5632,Principal,2024-01-19T12:41:24.190000,Validado,7617,Cumple
ID-5632,Principal,2024-01-19T12:41:24.190000,Validado,7617,Cumple
ID-5632,Principal,2024-01-26T16:50:23.920000,Con observaciones,10430,No cumple
ID-6821,Principal,2023-09-27T17:16:10.330000,Validado,8520,Cumple
ID-1861,Principal,2024-01-29T13:46:19.287000,Validado,10474,Cumple
ID-1861,Principal,2024-01-29T13:56:34.743000,Validado,10475,Cumple
ID-1861,Principal,2024-01-30T10:04:49.737000,Validado,10470,No cumple
ID-1861,Principal,2024-01-30T10:04:49.737000,Validado,10470,Cumple
ID-1861,Principal,2022-03-30T15:08:58.710000,Recepcionado,157,N/D
ID-341,Principal,2024-03-13T11:23:21.440000,Validado,9688,No cumple
ID-341,Principal,2024-03-13T11:23:21.440000,Validado,9688,No cumple
ID-341,Principal,2024-03-13T11:23:21.440000,Validado,9688,Cumple
ID-1424,Principal,2022-06-10T12:38:18.940000,Con observaciones,2182,No cumple
ID-1425,Principal,2022-06-10T12:40:55.320000,Con observaciones,2183,No cumple
ID-1419,Principal,2022-06-10T12:33:57.203000,Con observaciones,2181,No cumple
ID-18422,Principal,2023-11-21T15:47:09.647000,Validado,9027,Cumple
ID-18423,Principal,2023-11-21T15:43:03.917000,Validado,9026,Cumple
ID-2979,Principal,2023-10-16T11:04:03.533000,Validado,8708,Cumple
ID-2979,Principal,2023-10-16T11:09:02.320000,Validado,8709,Cumple
ID-33,Secundario,2022-07-14T17:49:46.687000,Validado,2564,Cumple
ID-33,Secundario,2022-06-16T12:00:23.937000,Recepcionado,1773,N/D
ID-33,Secundario,2023-06-19T11:15:24.757000,Validado,7372,Cumple
ID-16,Principal,2023-05-07T19:29:43.097000,Con observaciones,6775,No cumple
ID-16,Principal,2023-01-17T12:41:33.530000,Validado,3267,No cumple
ID-16,Principal,2023-01-17T12:41:33.530000,Validado,3267,Cumple
ID-16,Principal,2023-01-17T12:44:44.017000,Validado,3266,No cumple
ID-16,Principal,2023-01-17T12:44:44.017000,Validado,3266,Cumple
ID-16,Principal,2023-01-17T12:47:54.933000,Validado,3765,No cumple
ID-16,Principal,2023-01-17T12:47:54.933000,Validado,3765,Cumple
ID-16,Secundario,2022-09-09T15:15:53.307000,Con observaciones,3263,No cumple
ID-12595,Principal,2022-07-01T09:52:30.420000,Validado,2434,Cumple
ID-12595,Principal,2022-04-25T16:30:05.097000,Recepcionado,1335,N/D
ID-2095,Principal,2022-10-19T16:35:17.803000,Con observaciones,2896,No cumple
ID-19694,Principal,2022-10-19T16:55:28.547000,Con observaciones,2897,No cumple
ID-10876,Principal,2022-09-29T10:07:43.803000,Con observaciones,3392,No cumple
ID-10876,Secundario,2022-09-29T09:58:32.593000,Con observaciones,3391,No cumple
ID-10877,Principal,2022-09-29T09:46:10.630000,Con observaciones,3390,No cumple
ID-11199,Principal,2023-01-31T18:49:05.557000,Con observaciones,5299,No cumple
ID-11199,Secundario,2023-01-31T18:55:43.833000,Con observaciones,5300,No cumple
ID-1258,Principal,2024-01-30T13:36:06.650000,Rechazado,10302,No cumple
ID-1258,Principal,2024-01-30T13:36:06.650000,Rechazado,10302,No cumple
ID-1258,Principal,2024-03-12T10:31:54.827000,Rechazado,10903,No cumple
ID-1258,Principal,2024-03-12T10:31:54.827000,Rechazado,10903,No cumple
ID-1258,Principal,2024-04-02T10:38:53.787000,Validado,11412,Cumple
ID-4394,Principal,2024-04-22T17:27:42.983000,Con observaciones,10966,No cumple
ID-4394,Principal,2023-12-15T12:18:10.083000,Rechazado,8626,No cumple
ID-4394,Principal,2023-12-15T12:18:10.083000,Rechazado,8626,No cumple
ID-4394,Principal,2023-11-20T16:47:35.177000,Validado,8623,Cumple
ID-4392,Principal,2023-12-15T12:21:14.403000,Rechazado,8625,No cumple
ID-4392,Principal,2023-12-15T12:21:14.403000,Rechazado,8625,No cumple
ID-4392,Principal,2023-12-15T12:23:28.353000,Rechazado,8620,No cumple
