hecho_sancionado,instrumento_legal_inflingido,losma_35,gravedad_falta,inversion,tipologia,vias_de_ingreso,tamaño_unidad
F1: Ausencia de bilbos de geófitas transplantados.,RCA,a,Leves,3.0,N,DIA,2.0999999999999996
"La obtención, con fecha 21 de noviembre de 2017, de un Nivel de Presión Sonora Corregidos (NPC) de 51 dB(A), medición efectuada en horario Diurno, en condición externa, en un receptor sensible ubicado en Zona Rural.",NE,h,Leves,,,,
"El lugar en que actualmente se está tomando la muestra para medir el efluente, no corresponde a la cámara especialmente habilitada al efecto, según lo establecido en la RPM, aprobada mediante resolución D.G.T.M. y M.M. Ord. N° 12.600/05/1101.",NE,h,Leves,,,,
"El establecimiento industrial no reportó la información asociada al remuestreo comprometido para ciertos parámetros en los meses de Julio 2013, Julio 2014 y Abril 2015. La Tabla N°3 de la presente resolución, grafica la obligación antedicha.",NE,g,Leves,2.0,N,DIA,1.4
Realizar actividades de extracción de áridos fuera del polígono definido y autorizado por la RCA N° 60/2009.,RCA,a,Leves,,,,
Realización de obras y actividades en sitios de nidificación de la especie Oceanodroma markhami (golondrina de mar negra) durante su temporada de nidificación,RCA,a,Graves,72.0,B,EIA,50.4
"Inadecuado manejo de los residuos del CES Midhurst, constatándose que: -	la titular no acredita el lugar de disposición final de los residuos peligrosos del Centro, ni que corresponda a un lugar autorizado, -	la titular no ha implementado las medidas necesarias para contener un derrame de residuos peligrosos o sustancias peligrosas en la bodega de materiales del Centro, -	la titular no acredita la recepción en destino de los residuos domésticos o asimilables a domésticos que han sido despachados del Centro, -	la titular no acredita la disposición final de los residuos domésticos o asimilables a domésticos en vertedero o relleno autorizado.",RCA,a,Leves,2.0,N,DIA,1.4
"La omisión de efectuar la campaña de monitoreo de ruido de las operaciones de la Mina UVA, para evaluar el cumplimiento del D.S. N°38/2012, por parte de una Entidad Técnica de Fiscalización Ambiental autorizada por la SMA en el alcance aire-ruido.",RCA,a,Leves,7.0,I,DIA,4.8999999999999995
"La obtención, con fecha 17 de marzo de 2022, de un Nivel de Presión Sonora Corregido (NPC) de 63 dB(A), medición efectuada en horario nocturno, en condición interna, con ventana abierta y en un receptor sensible ubicado en Zona III.",NE,h,Leves,,,,
"No adopción de acciones ante el afloramiento y dispersión de residuos sólidos en frentes no activos del Relleno Sanitario, consistentes en: a. Mantención frecuente de taludes y terrazas. b. Recolección manual de residuos sólidos con frecuencia diaria.",RCA,a,Leves,2.0,O,EIA,1.4
"Superación de valores máximos de emisión permitidos para CO, NO2 y SO2 en la Unidad de Generación Nehuenco II.",RCA,a,Leves,220.0,C,EIA,154.0
"Existencia de residuos sólidos en el fondo marino, consistentes en bolsas plásticas, cabos y estructuras metálicas sumergidas.",RCA,a,Leves,1.5,N,DIA,1.0499999999999998
